-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2019 through 12/31/2020 
Location: Latitude  38.8762   Longitude -77.028 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 83.32 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
WS2M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 2 Meters (m/s) 
WS2M MERRA2 1/2x1/2 Wind Speed at 2 Meters (m/s) 
PS MERRA2 1/2x1/2 Surface Pressure (kPa) 
WS10M_RANGE MERRA2 1/2x1/2 Wind Speed Range at 10 Meters (m/s) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C) 
T2MWET MERRA2 1/2x1/2 Wet Bulb Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
WS2M_MIN MERRA2 1/2x1/2 Minimum Wind Speed at 2 Meters (m/s) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (MJ/m^2/day) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
WS2M_MAX MERRA2 1/2x1/2 Maximum Wind Speed at 2 Meters (m/s) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,DOY,WS2M_RANGE,T2M_MIN,WS2M,WS10M_RANGE,T2M,T2MDEW,T2MWET,T2M_MAX,WS2M_MIN,ALLSKY_SFC_SW_DWN,T2M_RANGE,PS,WS2M_MAX,PRECTOT,RH2M
38.87621,-77.02799,2019,073,    2.00,    5.21,    2.29,    3.35,   12.41,   10.39,   10.05,   19.92,    1.20,             18.83,   14.71,  100.82,    3.21,    0.00,   87.56
38.87621,-77.02799,2019,074,    1.79,    9.40,    2.74,    3.00,   16.16,   14.32,   14.08,   21.51,    1.66,             13.77,   12.11,  100.02,    3.45,    0.35,   88.90
38.87621,-77.02799,2019,075,    2.54,    0.64,    2.83,    3.91,    6.01,    0.93,    0.87,   10.59,    1.19,             20.26,    9.96,  101.02,    3.73,    0.00,   69.69
38.87621,-77.02799,2019,076,    1.64,   -2.10,    1.28,    2.57,    3.96,   -1.15,   -1.19,    9.82,    0.45,             20.47,   11.92,  101.35,    2.09,    0.00,   69.10
38.87621,-77.02799,2019,077,    1.63,    0.51,    1.05,    2.50,    3.87,    1.02,    1.01,    6.87,    0.37,             10.25,    6.36,  101.52,    2.00,    0.03,   81.63
38.87621,-77.02799,2019,078,    1.33,   -3.04,    0.95,    2.70,    3.42,   -2.10,   -2.09,   10.17,    0.14,             20.78,   13.21,  102.00,    1.48,    0.00,   66.97
38.87621,-77.02799,2019,079,    1.24,   -1.40,    1.20,    1.98,    4.55,    1.00,    0.85,    9.76,    0.59,             17.41,   11.15,  101.62,    1.83,    0.31,   77.67
38.87621,-77.02799,2019,080,    3.70,    3.88,    2.13,    6.37,    5.76,    5.32,    5.22,    8.62,    0.64,              3.94,    4.73,  100.00,    4.34,   51.84,   97.13
38.87621,-77.02799,2019,081,    1.36,    2.13,    4.16,    2.41,    6.11,    2.42,    2.35,   10.45,    3.39,             12.39,    8.31,   99.54,    4.76,    1.93,   77.09
38.87621,-77.02799,2019,082,    2.73,   -1.17,    3.14,    4.34,    3.62,   -1.68,   -1.70,    9.71,    1.34,             22.27,   10.89,  100.97,    4.07,    0.00,   68.08
38.87621,-77.02799,2019,083,    1.84,   -2.25,    1.38,    2.60,    7.54,    3.95,    3.31,   15.63,    0.71,             20.87,   17.88,  101.23,    2.56,    0.01,   77.84
38.87621,-77.02799,2019,084,    1.93,    5.01,    1.63,    3.25,    9.17,    6.52,    6.43,   14.43,    0.73,              6.81,    9.42,  100.67,    2.66,    0.80,   83.45
38.87621,-77.02799,2019,085,    2.25,   -0.72,    2.31,    3.18,    3.67,   -1.94,   -2.06,    8.49,    1.11,             22.72,    9.21,  101.47,    3.36,    0.06,   66.52
38.87621,-77.02799,2019,086,    0.64,   -3.15,    1.31,    1.76,    3.51,   -2.09,   -2.17,   10.81,    0.99,             22.32,   13.96,  102.13,    1.63,    0.00,   66.60
38.87621,-77.02799,2019,087,    1.35,   -1.02,    1.79,    1.99,    7.00,    4.08,    3.78,   14.51,    1.19,             22.06,   15.53,  101.67,    2.54,    0.00,   81.61
38.87621,-77.02799,2019,088,    1.28,    6.63,    1.09,    2.55,   12.14,    9.49,    9.38,   20.00,    0.45,             16.02,   13.37,  100.93,    1.73,    0.08,   83.85
38.87621,-77.02799,2019,089,    2.58,    8.29,    1.96,    4.21,   14.18,   12.21,   12.13,   20.10,    0.79,             19.12,   11.80,  100.34,    3.37,    0.07,   88.03
